# Colors
0,0,0
99,42,123
194,71,184
78,61,59
84,77,84
120,108,100
160,154,146
245,238,228
100,213,223
71,143,202
47,88,141
37,47,64
99,37,14
158,50,39
216,121,69
244,220,109
137,170,85
78,131,87
56,105,86
43,74,60
233,155,124
130,83,65

# RaceColors
Elf,15
Goblin,17

# MapDimensions
Width,14
Height,14

# Map
1,30,86,2,171,175,175,175,175,175,175,175,175,172
130,2,86,2,146,16,209,146,146,146,146,210,146,30
113,10,10,2,114,146,146,13,114,16,146,113,28,2
2,36,38,36,2,47,47,227,53,146,146,245,33,34
2,26,86,42,245,104,104,104,104,146,209,53,146,157
2,26,86,42,129,146,46,146,110,146,146,214,210,173
2,26,86,26,196,146,46,210,146,199,246,130,146,2
2,26,72,26,196,55,1,1,55,245,53,53,146,2
2,42,72,26,196,146,110,146,146,214,53,151,146,2
2,26,86,26,113,137,235,146,43,217,53,215,146,2
2,189,86,42,28,29,28,29,197,185,53,215,209,2
13,26,86,42,39,53,53,53,53,53,53,167,146,2
13,13,145,11,11,11,250,137,235,246,200,12,11,12
129,2,2,2,12,2,2,2,170,2,2,2,12,11

# Entities
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,142,0,0,0,0,0,0,0,123,0
0,0,0,0,0,142,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,123,0,0,0,0,0,0,142,0,0,0
0,142,0,0,0,123,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,123,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,142,0,0,123,0,0,0
0,0,0,142,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,142,0
0,123,0,0,0,0,0,0,123,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0

# BgColors
11,11,11,11,11,11,11,11,11,11,11,11,11,11
6,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,5,11
11,11,11,11,6,11,11,6,5,11,11,6,11,11
11,11,11,11,6,5,5,5,5,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,10,11,11
11,11,11,11,11,11,11,11,11,10,10,6,11,11
11,11,11,11,11,0,0,0,0,10,0,0,11,11
11,11,11,11,11,11,11,11,11,10,0,10,11,11
11,11,11,11,11,11,11,11,11,10,0,10,11,11
11,11,11,11,10,10,10,10,10,10,0,10,11,11
5,11,11,11,11,0,0,0,0,0,0,10,11,11
5,10,10,10,10,10,10,10,10,10,10,10,10,5
11,11,11,11,5,11,11,11,6,11,11,11,5,5

# FgColors
0,5,4,6,5,5,5,5,5,5,5,5,5,5
11,6,4,6,10,18,10,10,10,10,10,10,10,5
6,6,6,6,6,10,10,5,6,18,10,6,6,6
6,5,5,5,6,5,5,5,6,10,10,5,5,5
6,10,4,10,5,6,6,6,6,10,10,10,10,13
6,10,4,10,6,10,4,10,4,10,10,6,10,13
6,10,4,10,5,10,4,10,10,6,6,10,10,6
6,10,7,10,5,4,10,10,4,6,11,11,10,6
6,10,7,10,5,10,4,10,10,6,11,6,10,6
6,10,4,10,6,7,7,10,4,6,11,6,10,6
6,7,4,10,6,6,6,6,6,6,11,6,10,6
6,10,4,10,6,11,11,11,11,11,11,6,10,6
6,6,6,6,6,6,7,7,7,6,6,6,6,6
6,6,6,6,6,6,6,6,7,6,6,6,6,6

# Walls
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,0,0,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,0,0,0,1,1,1,1,1,0,0,0,0,1
1,0,0,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,1,0,1,0,0,1,1,1,0,1
1,0,1,0,1,0,1,1,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,1,1,1,0,1,1,0,1,0,1
1,0,0,0,1,1,1,1,1,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
