# Colors
160,154,146
47,88,141
37,47,64
244,220,109
78,131,87

# RaceColors
Elf,3
Goblin,4

# MapDimensions
Width,7
Height,7

# Map
10,10,10,2,88,88,2
2,146,146,146,189,146,2
2,189,28,146,146,210,29
2,146,146,129,114,146,29
2,210,146,146,28,209,28
2,146,209,146,2,146,2
29,28,28,29,28,2,2

# Entities
0,0,0,0,0,0,0
0,142,0,0,0,123,0
0,0,0,123,0,142,0
0,142,0,0,0,0,0
0,123,0,0,0,0,0
0,0,0,142,0,0,0
0,0,0,0,0,0,0

# BgColors
2,2,2,0,2,2,0
0,2,2,2,2,2,0
0,2,1,2,2,2,1
0,2,2,0,0,2,1
0,2,2,2,1,2,1
0,2,2,2,0,2,0
1,1,1,1,1,0,0

# FgColors
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,0,0,1,1,1,0
1,1,1,1,1,1,0
1,1,1,1,0,1,0
1,1,1,1,1,1,1
0,0,0,0,0,1,1

# Walls
1,1,1,1,1,1,1
1,0,0,0,0,0,1
1,0,1,0,0,0,1
1,0,0,1,1,0,1
1,0,0,0,1,0,1
1,0,0,0,1,0,1
1,1,1,1,1,1,1
